STOCK,1000000.0
alpha,nan
annualized_returns,0.0
beta,nan
cash,1000000.0
downside_risk,0.003
end_date,2021-04-01
information_ratio,nan
max_drawdown,0.0
run_type,BACKTEST
sharpe,nan
sortino,-15.872
start_date,2005-01-04
strategy_file,D:\python\pythonProject1\main.py
strategy_name,main
total_returns,0.0
total_value,1000000.0
tracking_error,0.0
unit_net_value,1.0
units,1000000.0
volatility,0.0
